,coefficient
AST,3379.277205122218
CLD,2942.0375467235044
WBC,1161.7380745022626
BMI,1099.783273667328
CAR,887.8326002309839
INPUT_24HR,871.9191653709322
TBB,828.7739492878688
HEIGHT,797.1085210846978
NA_ION,793.972641250929
HCT,787.5067621336532
SEP,714.4618836661452
RES,610.7945298507673
AG,599.8211989108796
CKD,566.7088484560167
K_ION,380.97947219080663
MEAN_BP,330.09631050405795
OUTPUT_24HR,287.83081645741646
VASO,280.4116637931617
GLU,231.07979262071044
DIAS_BP,228.6649985001492
CPD,206.89357299946505
DIA,200.0791586832636
ISOFA,184.97185137977743
RR,184.41714962159708
CL_ION,167.8692489131573
OD,35.553881430528364
SPO2,11.133059217946476
CHF,-34.38954859740109
GENDER,-57.445033856312044
HCO3,-78.71821193238475
HYP,-113.99675000783063
PLT,-130.89705719675567
RBC,-156.65145844131652
CR,-173.93109012853157
AGE,-177.50134187795857
OUTPUT_6HR,-206.32820015738528
HR,-227.28787824836093
INPUT_12HR,-232.4291335942932
MECH,-273.668235041982
UN,-395.39667065467575
TEM,-405.89020489444596
CA_ION,-414.4773287686134
INPUT_6HR,-537.5027664791687
OUTPUT_12HR,-563.2292193584118
SYS_BP,-964.7392427115726
HGB,-1075.3139541453752
WEIGHT,-1110.9676372472456
ALT,-2113.823276126115
HOURS,-3060.3353924376183
